seed,split,rank,action_name,count,percentage
2026,val,1,large_increase_k,69,46.0
2026,val,2,reset_cooling_rate_to_default,20,13.333333333333334
2026,val,3,no_change,18,12.0
2026,val,4,large_decrease_k,16,10.666666666666666
2026,val,5,reheat_layout,16,10.666666666666666
2026,val,6,reset_k_to_default,11,7.333333333333333
2026,val,7,small_increase_k,0,0.0
2026,val,8,small_decrease_k,0,0.0
2026,val,9,small_increase_temperature,0,0.0
2026,val,10,small_decrease_temperature,0,0.0
2026,val,11,large_increase_temperature,0,0.0
2026,val,12,large_decrease_temperature,0,0.0
2026,val,13,small_increase_cooling_rate,0,0.0
2026,val,14,small_decrease_cooling_rate,0,0.0
2026,val,15,large_increase_cooling_rate,0,0.0
2026,val,16,large_decrease_cooling_rate,0,0.0
2026,val,17,reset_temperature_to_default,0,0.0
2026,val,18,expand_and_explore,0,0.0
2026,val,19,expand_and_stabilize,0,0.0
2026,val,20,compress_and_stabilize,0,0.0
2026,val,21,cool_down_layout,0,0.0
2026,test_seen,1,large_increase_k,66,44.0
2026,test_seen,2,reset_cooling_rate_to_default,19,12.666666666666666
2026,test_seen,3,no_change,18,12.0
2026,test_seen,4,large_decrease_k,18,12.0
2026,test_seen,5,reset_k_to_default,17,11.333333333333334
2026,test_seen,6,reheat_layout,12,8.0
2026,test_seen,7,small_increase_k,0,0.0
2026,test_seen,8,small_decrease_k,0,0.0
2026,test_seen,9,small_increase_temperature,0,0.0
2026,test_seen,10,small_decrease_temperature,0,0.0
2026,test_seen,11,large_increase_temperature,0,0.0
2026,test_seen,12,large_decrease_temperature,0,0.0
2026,test_seen,13,small_increase_cooling_rate,0,0.0
2026,test_seen,14,small_decrease_cooling_rate,0,0.0
2026,test_seen,15,large_increase_cooling_rate,0,0.0
2026,test_seen,16,large_decrease_cooling_rate,0,0.0
2026,test_seen,17,reset_temperature_to_default,0,0.0
2026,test_seen,18,expand_and_explore,0,0.0
2026,test_seen,19,expand_and_stabilize,0,0.0
2026,test_seen,20,compress_and_stabilize,0,0.0
2026,test_seen,21,cool_down_layout,0,0.0
2026,test_unseen_size,1,large_increase_k,76,50.666666666666664
2026,test_unseen_size,2,reset_cooling_rate_to_default,20,13.333333333333334
2026,test_unseen_size,3,reheat_layout,19,12.666666666666666
2026,test_unseen_size,4,large_decrease_k,18,12.0
2026,test_unseen_size,5,reset_k_to_default,12,8.0
2026,test_unseen_size,6,no_change,5,3.3333333333333335
2026,test_unseen_size,7,small_increase_k,0,0.0
2026,test_unseen_size,8,small_decrease_k,0,0.0
2026,test_unseen_size,9,small_increase_temperature,0,0.0
2026,test_unseen_size,10,small_decrease_temperature,0,0.0
2026,test_unseen_size,11,large_increase_temperature,0,0.0
2026,test_unseen_size,12,large_decrease_temperature,0,0.0
2026,test_unseen_size,13,small_increase_cooling_rate,0,0.0
2026,test_unseen_size,14,small_decrease_cooling_rate,0,0.0
2026,test_unseen_size,15,large_increase_cooling_rate,0,0.0
2026,test_unseen_size,16,large_decrease_cooling_rate,0,0.0
2026,test_unseen_size,17,reset_temperature_to_default,0,0.0
2026,test_unseen_size,18,expand_and_explore,0,0.0
2026,test_unseen_size,19,expand_and_stabilize,0,0.0
2026,test_unseen_size,20,compress_and_stabilize,0,0.0
2026,test_unseen_size,21,cool_down_layout,0,0.0
2026,test_unseen_family,1,no_change,60,40.0
