split,rank,action_name,count,percentage
val,1,large_increase_k,312,41.6
val,2,no_change,111,14.8
val,3,reset_cooling_rate_to_default,79,10.533333333333333
val,4,reset_temperature_to_default,66,8.8
val,5,small_decrease_k,32,4.266666666666667
val,6,reheat_layout,26,3.466666666666667
val,7,large_decrease_k,24,3.2
val,8,cool_down_layout,19,2.533333333333333
val,9,reset_k_to_default,18,2.4
val,10,small_increase_cooling_rate,14,1.8666666666666667
val,11,expand_and_explore,12,1.6
val,12,large_decrease_temperature,11,1.4666666666666666
val,13,large_decrease_cooling_rate,11,1.4666666666666666
val,14,compress_and_stabilize,7,0.9333333333333333
val,15,small_increase_temperature,4,0.5333333333333333
val,16,expand_and_stabilize,3,0.4
val,17,large_increase_cooling_rate,1,0.13333333333333333
val,18,small_increase_k,0,0.0
val,19,small_decrease_temperature,0,0.0
val,20,large_increase_temperature,0,0.0
val,21,small_decrease_cooling_rate,0,0.0
test_seen,1,large_increase_k,314,41.86666666666667
test_seen,2,no_change,107,14.266666666666667
test_seen,3,reset_cooling_rate_to_default,76,10.133333333333333
test_seen,4,reset_temperature_to_default,62,8.266666666666667
test_seen,5,small_decrease_k,34,4.533333333333333
test_seen,6,large_decrease_k,26,3.466666666666667
test_seen,7,reset_k_to_default,26,3.466666666666667
test_seen,8,cool_down_layout,21,2.8
test_seen,9,small_increase_cooling_rate,16,2.1333333333333333
test_seen,10,reheat_layout,16,2.1333333333333333
test_seen,11,large_decrease_cooling_rate,14,1.8666666666666667
test_seen,12,expand_and_explore,14,1.8666666666666667
test_seen,13,large_decrease_temperature,13,1.7333333333333334
test_seen,14,compress_and_stabilize,6,0.8
test_seen,15,small_increase_temperature,2,0.26666666666666666
test_seen,16,expand_and_stabilize,2,0.26666666666666666
test_seen,17,large_increase_cooling_rate,1,0.13333333333333333
test_seen,18,small_increase_k,0,0.0
test_seen,19,small_decrease_temperature,0,0.0
test_seen,20,large_increase_temperature,0,0.0
test_seen,21,small_decrease_cooling_rate,0,0.0
test_unseen_size,1,large_increase_k,366,48.8
test_unseen_size,2,reset_cooling_rate_to_default,79,10.533333333333333
test_unseen_size,3,no_change,78,10.4
test_unseen_size,4,reset_temperature_to_default,57,7.6
test_unseen_size,5,small_decrease_k,39,5.2
test_unseen_size,6,large_decrease_k,32,4.266666666666667
test_unseen_size,7,reheat_layout,22,2.933333333333333
test_unseen_size,8,large_decrease_cooling_rate,19,2.533333333333333
test_unseen_size,9,reset_k_to_default,14,1.8666666666666667
test_unseen_size,10,large_decrease_temperature,13,1.7333333333333334
test_unseen_size,11,expand_and_explore,11,1.4666666666666666
test_unseen_size,12,cool_down_layout,10,1.3333333333333333
test_unseen_size,13,small_increase_cooling_rate,4,0.5333333333333333
test_unseen_size,14,large_increase_temperature,3,0.4
test_unseen_size,15,small_increase_temperature,2,0.26666666666666666
test_unseen_size,16,compress_and_stabilize,1,0.13333333333333333
test_unseen_size,17,small_increase_k,0,0.0
test_unseen_size,18,small_decrease_temperature,0,0.0
test_unseen_size,19,small_decrease_cooling_rate,0,0.0
test_unseen_size,20,large_increase_cooling_rate,0,0.0
test_unseen_size,21,expand_and_stabilize,0,0.0
test_unseen_family,1,large_increase_k,279,37.2
test_unseen_family,2,no_change,221,29.466666666666665
test_unseen_family,3,reset_cooling_rate_to_default,144,19.2
test_unseen_family,4,small_decrease_k,55,7.333333333333333
test_unseen_family,5,small_increase_cooling_rate,21,2.8
test_unseen_family,6,reset_temperature_to_default,11,1.4666666666666666
test_unseen_family,7,reheat_layout,5,0.6666666666666666
test_unseen_family,8,large_decrease_k,4,0.5333333333333333
test_unseen_family,9,expand_and_explore,4,0.5333333333333333
test_unseen_family,10,reset_k_to_default,3,0.4
test_unseen_family,11,large_decrease_temperature,1,0.13333333333333333
test_unseen_family,12,expand_and_stabilize,1,0.13333333333333333
test_unseen_family,13,compress_and_stabilize,1,0.13333333333333333
test_unseen_family,14,small_increase_k,0,0.0
test_unseen_family,15,small_increase_temperature,0,0.0
test_unseen_family,16,small_decrease_temperature,0,0.0
test_unseen_family,17,large_increase_temperature,0,0.0
test_unseen_family,18,small_decrease_cooling_rate,0,0.0
test_unseen_family,19,large_increase_cooling_rate,0,0.0
test_unseen_family,20,large_decrease_cooling_rate,0,0.0
test_unseen_family,21,cool_down_layout,0,0.0
