seed,split,total_actions,unique_actions_used,top_action,top_action_count,top_action_share,normalized_entropy,effective_number_of_actions
2026,val,150,6,large_increase_k,69,0.46,0.5088940894680833,4.708359160712495
2026,test_seen,150,6,large_increase_k,66,0.44,0.519176883415472,4.858091526193031
2026,test_unseen_size,150,6,large_increase_k,76,0.5066666666666667,0.47453049995743246,4.240659308760228
2026,test_unseen_family,150,6,no_change,60,0.4,0.3957331868800624,3.3361537341338368
2027,val,150,9,large_increase_k,57,0.38,0.5785576053170198,5.820764502317613
2027,test_seen,150,9,large_increase_k,61,0.4066666666666667,0.5580369519396271,5.468235688987666
2027,test_unseen_size,150,6,large_increase_k,64,0.4266666666666667,0.5031712510161671,4.627034488913066
2027,test_unseen_family,150,6,small_decrease_k,55,0.36666666666666664,0.4087505147386612,3.4710256045271275
2028,val,150,11,large_increase_k,54,0.36,0.5538166291871428,5.398424511896253
2028,test_seen,150,11,large_increase_k,53,0.35333333333333333,0.5498237982665074,5.333197105979977
2028,test_unseen_size,150,7,large_increase_k,70,0.4666666666666667,0.47013875499041,4.184335828216452
2028,test_unseen_family,150,4,no_change,81,0.54,0.34961240133780247,2.899107121304022
2029,val,150,8,large_increase_k,60,0.4,0.5408332763893083,5.1891974174396
2029,test_seen,150,8,large_increase_k,63,0.42,0.5323486635969342,5.056868665929106
2029,test_unseen_size,150,9,large_increase_k,59,0.3933333333333333,0.5604195197108017,5.508045283829814
2029,test_unseen_family,150,6,no_change,77,0.5133333333333333,0.3327785824560139,2.754268420053429
2030,val,150,9,large_increase_k,72,0.48,0.4952359803120596,4.516588959758195
2030,test_seen,150,8,large_increase_k,71,0.47333333333333333,0.5009153562802232,4.595364332637545
2030,test_unseen_size,150,8,large_increase_k,97,0.6466666666666666,0.3943415584447123,3.3220488723632813
2030,test_unseen_family,150,6,reset_cooling_rate_to_default,75,0.5,0.3201842158070029,2.6506583132181682
