split,rank,action_name,count,percentage
val,1,large_increase_k,312,41.6
val,2,no_change,111,14.8
val,3,reset_cooling_rate_to_default,79,10.533333333333333
val,4,reset_temperature_to_default,66,8.8
val,5,small_decrease_k,32,4.266666666666667
test_seen,1,large_increase_k,314,41.86666666666667
test_seen,2,no_change,107,14.266666666666667
test_seen,3,reset_cooling_rate_to_default,76,10.133333333333333
test_seen,4,reset_temperature_to_default,62,8.266666666666667
test_seen,5,small_decrease_k,34,4.533333333333333
test_unseen_size,1,large_increase_k,366,48.8
test_unseen_size,2,reset_cooling_rate_to_default,79,10.533333333333333
test_unseen_size,3,no_change,78,10.4
test_unseen_size,4,reset_temperature_to_default,57,7.6
test_unseen_size,5,small_decrease_k,39,5.2
test_unseen_family,1,large_increase_k,279,37.2
test_unseen_family,2,no_change,221,29.466666666666665
test_unseen_family,3,reset_cooling_rate_to_default,144,19.2
test_unseen_family,4,small_decrease_k,55,7.333333333333333
test_unseen_family,5,small_increase_cooling_rate,21,2.8
