split,policy,graph_id,family,size_label,n,m,initial_score,final_score,improvement,actions
val,no_change,val__erdos_renyi__small__idx0000__seed202026,erdos_renyi,small,14,36,0.4894879545879587,0.6380802431442849,0.14859228855632622,no_change | no_change | no_change | no_change | no_change
val,random,val__erdos_renyi__small__idx0000__seed202026,erdos_renyi,small,14,36,0.4894879545879587,0.6366089018400225,0.14712094725206382,reheat_layout | expand_and_explore | large_decrease_cooling_rate | no_change | large_increase_k
val,fixed::expand_and_explore,val__erdos_renyi__small__idx0000__seed202026,erdos_renyi,small,14,36,0.4894879545879587,0.6392097172038194,0.14972176261586068,expand_and_explore | expand_and_explore | expand_and_explore | expand_and_explore | expand_and_explore
val,ppo,val__erdos_renyi__small__idx0000__seed202026,erdos_renyi,small,14,36,0.4894879545879587,0.6425078214919159,0.1530198669039572,reset_cooling_rate_to_default | reset_cooling_rate_to_default | large_increase_k | large_increase_k | large_increase_k
val,no_change,val__erdos_renyi__small__idx0001__seed202027,erdos_renyi,small,23,33,0.4990834921179496,0.7123772268907718,0.21329373477282215,no_change | no_change | no_change | no_change | no_change
val,random,val__erdos_renyi__small__idx0001__seed202027,erdos_renyi,small,23,33,0.4990834921179496,0.7123184199741545,0.21323492785620485,large_decrease_k | reset_cooling_rate_to_default | small_decrease_k | small_increase_k | large_increase_temperature
val,fixed::expand_and_explore,val__erdos_renyi__small__idx0001__seed202027,erdos_renyi,small,23,33,0.4990834921179496,0.7225361863937145,0.22345269427576492,expand_and_explore | expand_and_explore | expand_and_explore | expand_and_explore | expand_and_explore
val,ppo,val__erdos_renyi__small__idx0001__seed202027,erdos_renyi,small,23,33,0.4990834921179496,0.7203213165646649,0.2212378244467153,reset_cooling_rate_to_default | reheat_layout | no_change | large_increase_k | large_increase_k
val,no_change,val__erdos_renyi__small__idx0002__seed202028,erdos_renyi,small,30,47,0.5297743839954306,0.6752454170453973,0.14547103304996667,no_change | no_change | no_change | no_change | no_change
val,random,val__erdos_renyi__small__idx0002__seed202028,erdos_renyi,small,30,47,0.5297743839954306,0.6764546593249987,0.14668027532956807,large_increase_temperature | large_increase_k | cool_down_layout | small_decrease_k | reheat_layout
val,fixed::expand_and_explore,val__erdos_renyi__small__idx0002__seed202028,erdos_renyi,small,30,47,0.5297743839954306,0.6881555761367497,0.15838119214131907,expand_and_explore | expand_and_explore | expand_and_explore | expand_and_explore | expand_and_explore
val,ppo,val__erdos_renyi__small__idx0002__seed202028,erdos_renyi,small,30,47,0.5297743839954306,0.6938612646138484,0.1640868806184178,reset_cooling_rate_to_default | reheat_layout | no_change | large_increase_k | large_increase_k
test_seen,no_change,test_seen__erdos_renyi__small__idx0000__seed302026,erdos_renyi,small,11,29,0.4804604756935109,0.6822275500268365,0.20176707433332564,no_change | no_change | no_change | no_change | no_change
test_seen,random,test_seen__erdos_renyi__small__idx0000__seed302026,erdos_renyi,small,11,29,0.4804604756935109,0.6351502674561309,0.15468979176262,reheat_layout | expand_and_explore | large_decrease_cooling_rate | no_change | large_increase_k
test_seen,fixed::small_increase_cooling_rate,test_seen__erdos_renyi__small__idx0000__seed302026,erdos_renyi,small,11,29,0.4804604756935109,0.6810857456909334,0.20062526999742247,small_increase_cooling_rate | small_increase_cooling_rate | small_increase_cooling_rate | small_increase_cooling_rate | small_increase_cooling_rate
test_seen,ppo,test_seen__erdos_renyi__small__idx0000__seed302026,erdos_renyi,small,11,29,0.4804604756935109,0.6805077136403722,0.2000472379468613,reset_cooling_rate_to_default | no_change | no_change | large_increase_k | large_increase_k
test_seen,no_change,test_seen__erdos_renyi__small__idx0001__seed302027,erdos_renyi,small,29,54,0.548297949485319,0.6489679100779813,0.10066996059266231,no_change | no_change | no_change | no_change | no_change
test_seen,random,test_seen__erdos_renyi__small__idx0001__seed302027,erdos_renyi,small,29,54,0.548297949485319,0.6550346833613497,0.10673673387603078,large_decrease_k | reset_cooling_rate_to_default | small_decrease_k | small_increase_k | large_increase_temperature
test_seen,fixed::small_increase_cooling_rate,test_seen__erdos_renyi__small__idx0001__seed302027,erdos_renyi,small,29,54,0.548297949485319,0.6560537385035631,0.10775578901824412,small_increase_cooling_rate | small_increase_cooling_rate | small_increase_cooling_rate | small_increase_cooling_rate | small_increase_cooling_rate
test_seen,ppo,test_seen__erdos_renyi__small__idx0001__seed302027,erdos_renyi,small,29,54,0.548297949485319,0.6647723407337547,0.11647439124843573,reset_cooling_rate_to_default | reset_cooling_rate_to_default | large_increase_k | large_increase_k | large_increase_k
test_seen,no_change,test_seen__erdos_renyi__small__idx0002__seed302028,erdos_renyi,small,27,65,0.5169878254846625,0.6396724956955606,0.12268467021089813,no_change | no_change | no_change | no_change | no_change
test_seen,random,test_seen__erdos_renyi__small__idx0002__seed302028,erdos_renyi,small,27,65,0.5169878254846625,0.6478195164433881,0.1308316909587256,large_increase_temperature | large_increase_k | cool_down_layout | small_decrease_k | reheat_layout
test_seen,fixed::small_increase_cooling_rate,test_seen__erdos_renyi__small__idx0002__seed302028,erdos_renyi,small,27,65,0.5169878254846625,0.652475632107139,0.1354878066224765,small_increase_cooling_rate | small_increase_cooling_rate | small_increase_cooling_rate | small_increase_cooling_rate | small_increase_cooling_rate
